recipeID,Num. of servings,ID,Food name,Amount,Unit
000005f43fc4c95a43eb061be8d06fadc205bbfe,2,2017,＜いも類＞　じゃがいも　塊茎　皮なし　生,2.5,個片丁株玉房
000005f43fc4c95a43eb061be8d06fadc205bbfe,2,6065,きゅうり　果実　生,1,本
000005f43fc4c95a43eb061be8d06fadc205bbfe,2,NA,#N/A,1,NA
000005f43fc4c95a43eb061be8d06fadc205bbfe,2,17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型,1,大/大匙
000005f43fc4c95a43eb061be8d06fadc205bbfe,2,17012,＜調味料類＞　（食塩類）　食塩,1,摘み/少々
00001944477645056f44a8cc3472d033b4cb3ffa,20,13035,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　クリーム,350,g
00001944477645056f44a8cc3472d033b4cb3ffa,20,13014,＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪,100,g
00001944477645056f44a8cc3472d033b4cb3ffa,20,3003,（砂糖類）　車糖　上白糖,150,g
00001944477645056f44a8cc3472d033b4cb3ffa,20,12004,鶏卵　全卵　生,3,個片丁株玉房
00001944477645056f44a8cc3472d033b4cb3ffa,20,7156,（かんきつ類）　レモン　果汁　生,1.5,大/大匙
00001944477645056f44a8cc3472d033b4cb3ffa,20,1015,こむぎ　［小麦粉］　薄力粉　1等,3,大/大匙
00001944477645056f44a8cc3472d033b4cb3ffa,20,2035,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,1,大/大匙
0000bb900a08fc6923f4439cc35d48527b6f57cf,None,1136,とうもろこし　ポップコーン,NA,適量、お好み
0000bb900a08fc6923f4439cc35d48527b6f57cf,None,17012,＜調味料類＞　（食塩類）　食塩,NA,適量、お好み
0000ea4ed1ecafc69ce87175add1709bd0d02f72,2,10385,＜水産練り製品＞　はんぺん,2,枚
0000ea4ed1ecafc69ce87175add1709bd0d02f72,2,13040,＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ,2,枚
0000ea4ed1ecafc69ce87175add1709bd0d02f72,2,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ,1,摘み/少々
0000ea4ed1ecafc69ce87175add1709bd0d02f72,2,17081,＜香辛料類＞　わさび　練り,NA,適量、お好み
0000ea4ed1ecafc69ce87175add1709bd0d02f72,2,14017,（バター類）　無発酵バター　有塩バター,1,大/大匙
000043699ce77396edbc95666c1614c5232a1965,2,6191,（なす類）　なす　果実　生,3,個片丁株玉房
000043699ce77396edbc95666c1614c5232a1965,2,6095,しそ　葉　生,5.5,枚
000043699ce77396edbc95666c1614c5232a1965,2,17058,＜香辛料類＞　からし　練り,1,小/小匙
000043699ce77396edbc95666c1614c5232a1965,2,17087,＜調味料類＞　（しょうゆ類）　だししょうゆ,3,大/大匙
000043699ce77396edbc95666c1614c5232a1965,2,14006,（植物油脂類）　調合油,NA,適量、お好み
0008011ace61686ab84e972416fb4a472c8a342d,1,11123,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,1,枚
0008011ace61686ab84e972416fb4a472c8a342d,1,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ,1,無単位
0008011ace61686ab84e972416fb4a472c8a342d,1,17105,＜調味料類＞　（調味ソース類）　デミグラスソース,160,g
0008011ace61686ab84e972416fb4a472c8a342d,1,17034,＜調味料類＞　（トマト加工品類）　トマトピューレー,1,大/大匙
0008011ace61686ab84e972416fb4a472c8a342d,1,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ,1,大/大匙
0008011ace61686ab84e972416fb4a472c8a342d,1,17001,＜調味料類＞　（ウスターソース類）　ウスターソース,1,小/小匙
0008011ace61686ab84e972416fb4a472c8a342d,1,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ,0.5,小/小匙
