ID,Food name,無単位,枚,本,個片丁株玉房,杯/カップ,半分,摘み/少々,小/小匙,中,大/大匙,一掴,袋,箱,缶/カン,CC,cm,束,合,適量、お好み,g
99999,水,-1,-1,-1,-1,180,-1,0.8,5,10,15,-1,-1,-1,-1,1,-1,-1,180,-1,1
1001,アマランサス　玄穀,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1002,あわ　精白粒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1003,あわ　あわもち,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1004,えんばく　オートミール,-1,-1,-1,-1,150,75,-1,5,-1,10,50,100,-1,-1,-1,-1,-1,150,-1,1
1005,おおむぎ　七分つき押麦,-1,-1,-1,-1,150,75,-1,5,-1,10,50,100,-1,-1,-1,-1,-1,150,-1,1
1006,おおむぎ　押麦　乾,-1,-1,-1,-1,150,75,-1,5,-1,10,50,100,-1,-1,-1,-1,-1,150,-1,1
1170,おおむぎ　押麦　めし,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1007,おおむぎ　米粒麦,-1,-1,-1,-1,150,75,-1,5,-1,10,50,100,-1,-1,-1,-1,-1,150,-1,1
1008,おおむぎ　大麦めん　乾,70,-1,-1,70,-1,35,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,70,-1,-1,1
1009,おおむぎ　大麦めん　ゆで,220,-1,-1,220,-1,110,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,220,-1,-1,1
1010,おおむぎ　麦こがし,-1,-1,-1,-1,150,75,-1,5,-1,10,50,100,-1,-1,-1,-1,-1,150,-1,1
1167,キヌア　玄穀,-1,-1,-1,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1011,きび　精白粒,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1012,こむぎ　［玄穀］　国産　普通,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1013,こむぎ　［玄穀］　輸入　軟質,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1014,こむぎ　［玄穀］　輸入　硬質,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1015,こむぎ　［小麦粉］　薄力粉　1等,-1,-1,-1,-1,150,75,2,3,-1,9,-1,200,-1,-1,1,-1,-1,-1,-1,1
1016,こむぎ　［小麦粉］　薄力粉　2等,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1018,こむぎ　［小麦粉］　中力粉　1等,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1019,こむぎ　［小麦粉］　中力粉　2等,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1020,こむぎ　［小麦粉］　強力粉　1等,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1021,こむぎ　［小麦粉］　強力粉　2等,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1023,こむぎ　［小麦粉］　強力粉　全粒粉,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,-1,-1,-1,-1,120,-1,-1,3,-1,9,-1,680,-1,-1,-1,-1,-1,-1,-1,1
1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,600,-1,-1,-1,150,75,-1,3,-1,9,-1,600,300,-1,-1,-1,-1,-1,-1,1
1147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,-1,-1,-1,-1,120,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,-1,20,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,-1,-1,-1,-1,120,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1,-1,1
1026,こむぎ　［パン類］　角形食パン　食パン,30,70,-1,-1,15,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,1
1174,こむぎ　［パン類］　角形食パン　焼き,70,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,1
1175,こむぎ　［パン類］　角形食パン　耳を除いたもの,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,1
1176,こむぎ　［パン類］　角形食パン　耳,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,1
1206,こむぎ　［パン類］　食パン　リーンタイプ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1207,こむぎ　［パン類］　食パン　リッチタイプ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1205,こむぎ　［パン類］　山形食パン　食パン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
